id,country_name,geo_id,industry_name,industry_id,size_label,size_code,status,last_page,total_found,created_at,updated_at
187608,Austria,103883259,Airlines and Aviation,58,11-50 employees,C,exhausted,10,10,2026-03-07T20:47:48Z,2026-03-07T20:52:10Z
187609,Austria,103883259,Airlines and Aviation,58,51-200 employees,D,exhausted,10,101,2026-03-07T20:47:48Z,2026-03-08T15:02:30Z
282110,Austria,103883259,Airlines and Aviation,58,201-500 employees,E,exhausted,0,0,2026-03-08T15:00:13Z,2026-03-08T15:03:27Z
313611,Austria,103883259,Airlines and Aviation,58,501-1000 employees,F,exhausted,0,0,2026-03-08T15:07:58Z,2026-03-08T15:08:44Z
313612,Austria,103883259,Airlines and Aviation,58,1001-5000 employees,G,exhausted,0,0,2026-03-08T15:07:58Z,2026-03-08T15:09:27Z
345113,Austria,103883259,Airlines and Aviation,58,5001-10000 employees,H,exhausted,0,0,2026-03-08T15:12:57Z,2026-03-08T15:13:39Z
345114,Austria,103883259,Airlines and Aviation,58,10001+ employees,I,exhausted,0,0,2026-03-08T15:12:57Z,2026-03-08T15:14:22Z
376615,Austria,103883259,Alternative Dispute Resolution,135,11-50 employees,C,exhausted,0,0,2026-03-08T15:17:21Z,2026-03-08T15:18:13Z
376616,Austria,103883259,Alternative Dispute Resolution,135,51-200 employees,D,exhausted,0,0,2026-03-08T15:17:21Z,2026-03-08T15:19:07Z
408117,Austria,103883259,Alternative Dispute Resolution,135,201-500 employees,E,exhausted,1,9,2026-03-08T15:23:11Z,2026-03-08T15:38:55Z
439618,Austria,103883259,Alternative Dispute Resolution,135,501-1000 employees,F,exhausted,0,0,2026-03-08T15:38:17Z,2026-03-08T15:40:19Z
471119,Austria,103883259,Alternative Dispute Resolution,135,1001-5000 employees,G,exhausted,10,100,2026-03-08T15:47:14Z,2026-03-08T16:47:09Z
534120,Austria,103883259,Alternative Dispute Resolution,135,5001-10000 employees,H,exhausted,0,0,2026-03-08T16:43:51Z,2026-03-08T16:49:09Z
565621,Austria,103883259,Alternative Dispute Resolution,135,10001+ employees,I,exhausted,0,0,2026-03-08T16:55:01Z,2026-03-08T17:14:23Z
565622,Austria,103883259,Alternative Medicine,70,11-50 employees,C,exhausted,0,0,2026-03-08T16:55:01Z,2026-03-08T17:15:11Z
597123,Austria,103883259,Alternative Medicine,70,51-200 employees,D,exhausted,0,0,2026-03-08T17:23:12Z,2026-03-08T17:24:01Z
597124,Austria,103883259,Alternative Medicine,70,201-500 employees,E,exhausted,10,100,2026-03-08T17:23:12Z,2026-03-09T16:43:27Z
691625,Austria,103883259,Alternative Medicine,70,501-1000 employees,F,exhausted,10,100,2026-03-09T16:37:32Z,2026-03-09T17:31:46Z
754626,Austria,103883259,Alternative Medicine,70,1001-5000 employees,G,exhausted,3,30,2026-03-09T17:25:58Z,2026-03-09T17:57:55Z
